Name,NSE Code,Industry,Current Price,CMP to IV,Price to book value,Intrinsic Value,Market Capitalization,Price to Earning,Industry PE,Historical PE 3Years,DuPont Model,PEG Ratio
PNB Housing,PNBHOUSING,Finance - Housing,804.9,1.45,1.42,555.36,20905.13,13.68,19.17,13.14,38.18,1.91
I R F C,IRFC,Finance - Term-Lending Institutions,186.8,2.67,4.93,70.02,244119.75,38.05,26.28,5.9,49.37,1.64
Power Fin.Corpn.,PFC,Finance - Term-Lending Institutions,468,0.68,1.55,686.99,154444.77,7.85,26.28,2.84,81.63,0.53
REC Ltd,RECLTD,Finance - Term-Lending Institutions,538.95,0.81,2.05,661.81,141917.6,10.04,26.28,3.2,62.69,0.51
Avanti Feeds,AVANTIFEED,Food - Processing - Indian,533.5,1.63,3.02,326.43,7268.72,20.32,38.37,21.25,17.56,3.1
Bikaji Foods,BIKAJI,Food - Processing - Indian,534,3.7,12.68,144.16,13370.42,69.71,38.37,76.05,18.09,3.7
KRBL,KRBL,Food - Processing - Indian,283.65,0.87,1.35,324.51,6492.46,10.91,38.37,12.07,19.59,3.06
Varun Beverages,VBL,Food - Processing - Indian,1503.55,4.26,28.15,352.98,195371.8,90.27,38.37,61.6,50.33,1.91
Britannia Inds.,BRITANNIA,Food - Processing - MNC,5286.3,5.52,32.29,957.4,127330.26,59.6,59.39,55.4,73.98,4.55
Nestle India,NESTLEIND,Food - Processing - MNC,2478.05,5.85,71.54,423.71,238923.03,74.89,59.39,80.97,170.49,5.62
Asahi India Glas,ASAHIINDIA,Glass & Glass Products,593,3.3,6.13,179.43,14415.85,44.33,37.66,38.07,36.4,3.85
Borosil Renew.,BORORENEW,Glass & Glass Products,500.3,10.38,7.01,48.2,6530.76,,,,,
Apollo Hospitals,APOLLOHOSP,Healthcare,5967.35,6.01,13.25,992.78,85801.35,108.8,43.54,89.77,39.95,1.62
Aster DM Health.,ASTERDM,Healthcare,361.15,2.72,4.1,132.94,18040,49.5,43.54,28.44,43.7,2.24
Dr Lal Pathlabs,LALPATHLAB,Healthcare,2568.5,3.57,11.6,719.51,21441.9,59.91,43.54,71.61,29.27,4.82
Fortis Health.,FORTIS,Healthcare,470.7,6.13,4.66,76.84,35535.88,66.45,43.54,52.17,16.15,1.6
Global Health,MEDANTA,Healthcare,1197.3,3.88,11.06,308.42,32148.41,67.27,43.54,60.41,26.08,1.2
Krishna Institu.,KIMS,Healthcare,1879.3,1.97,8.21,954.5,15039.67,48.44,43.54,43.34,37.33,0.91
Max Healthcare,MAXHEALTH,Healthcare,810.05,4.33,9.37,186.97,78729.76,74.45,43.54,62.17,17.45,0.1
Metropolis Healt,METROPOLIS,Healthcare,1939.85,3.3,9.1,587.71,9937.64,77.81,43.54,52.4,28.06,48.33
Narayana Hrudaya,NH,Healthcare,1253.1,2.24,10.24,558.42,25608.48,33.2,43.54,35.22,38.24,0.52
Poly Medicure,POLYMED,Healthcare,1806.95,3.39,11.82,532.36,17341.53,67.1,43.54,59.8,22.45,2.1
Rainbow Child.,RAINBOW,Healthcare,1248.4,2.86,10,436.08,12671.38,58.41,43.54,49.84,35.28,1.57
Vijaya Diagnost.,VIJAYA,Healthcare,771.35,3.37,12.07,229.18,7894.45,65.6,43.54,48.06,33.3,3.02
Chalet Hotels,CHALET,Hotels,780.25,3.61,8.62,216.38,17017.27,61.18,46.51,65.47,30.15,0.45
Devyani Intl.,DEVYANI,Hotels,152.45,13.81,17.37,11.04,18386.93,299.29,174.29,97.7,74.05,13.83
EIH,EIHOTEL,Hotels,478.3,5.06,8.62,94.46,29911.21,54.57,46.51,45.84,-2.03,3.61
Indian Hotels Co,INDHOTEL,Hotels,565.7,4.69,8.47,120.6,80523.59,63.96,46.51,62.14,22.36,1.81
Jubilant Food.,JUBLFOOD,Hotels,473.7,5.59,14.39,84.76,31256.8,119.45,174.29,107.08,57.53,-30.32
Lemon Tree Hotel,LEMONTREE,Hotels,147.7,6.21,13.53,23.78,11701.44,93.27,46.51,85.66,30.57,1.8
Mahindra Holiday,MHRIL,Hotels,408,9.85,15.7,41.44,8239.61,71.33,46.51,78.59,100.19,4.95
Restaurant Brand,RBA,Hotels,103.19,,,,,,,,,
Sapphire Foods,SAPPHIRE,Hotels,1412.75,7.25,6.7,194.75,8999.83,173.21,174.29,55.06,36.99,6.67
